Core name,Latitude(decimal degrees),Longitude (decimal degrees),Water depth (m),Depth in core (m),"Age (ka), QUEST age model",Planktonic and/or benthic species,d18O (benthic),d13C (benthic)
RC12-294,-37.26666667,-10.11527778,3308,0.45,16.24,C. wuellerstorfi,4.19,-0.23
RC12-294,-37.26666667,-10.11527778,3308,3.95,67.556,C. wuellerstorfi,4,0.03
RC12-294,-37.26666667,-10.11527778,3308,4.25,75.889,C. wuellerstorfi,3.89,0.16
RC12-294,-37.26666667,-10.11527778,3308,4.35,78.667,C. wuellerstorfi,4.04,0.16
RC12-294,-37.26666667,-10.11527778,3308,4.4,80.056,C. wuellerstorfi,4.19,0.2
RC12-294,-37.26666667,-10.11527778,3308,4.45,81.444,C. wuellerstorfi,3.93,-0.19
RC12-294,-37.26666667,-10.11527778,3308,4.5,82.833,C. wuellerstorfi,3.83,-0.34
RC12-294,-37.26666667,-10.11527778,3308,4.55,84.222,C. wuellerstorfi,4.11,-0.05
RC12-294,-37.26666667,-10.11527778,3308,4.6,85.611,C. wuellerstorfi,4,-0.08
RC12-294,-37.26666667,-10.11527778,3308,4.6,85.611,C. wuellerstorfi,4.07,-0.11
RC12-294,-37.26666667,-10.11527778,3308,4.65,87,C. wuellerstorfi,3.82,-0.26
RC12-294,-37.26666667,-10.11527778,3308,4.75,94.231,C. wuellerstorfi,3.69,0.1
RC12-294,-37.26666667,-10.11527778,3308,4.75,94.231,C. wuellerstorfi,3.9,-0.06
RC12-294,-37.26666667,-10.11527778,3308,4.8,97.846,C. wuellerstorfi,3.33,0.33
RC12-294,-37.26666667,-10.11527778,3308,4.85,101.462,C. wuellerstorfi,3.22,0.46
RC12-294,-37.26666667,-10.11527778,3308,4.9,105.077,C. wuellerstorfi,3.16,0.28
RC12-294,-37.26666667,-10.11527778,3308,4.95,108.692,C. wuellerstorfi,3.11,0.42
RC12-294,-37.26666667,-10.11527778,3308,5,112.308,C. wuellerstorfi,2.97,0.63
RC12-294,-37.26666667,-10.11527778,3308,5.05,115.923,C. wuellerstorfi,3.22,0.35
RC12-294,-37.26666667,-10.11527778,3308,5.1,119.538,C. wuellerstorfi,3.09,0.42
RC12-294,-37.26666667,-10.11527778,3308,5.2,126.769,C. wuellerstorfi,3.08,0.56
RC12-294,-37.26666667,-10.11527778,3308,6.85,192.529,C. wuellerstorfi,3.82,-0.08
RC12-294,-37.26666667,-10.11527778,3308,6.95,199.471,C. wuellerstorfi,3.68,0.27
RC10-175,34.58333,159.1667,4014,0.15,11.349,Var. benthic: C. wuellerstorfi,3.88,-0.16
RC10-175,34.58333,159.1667,4014,0.19,12.465,Var. benthic: Genus mix: Nutt. and Cib. spp.,3.96,-0.81
RC10-175,34.58333,159.1667,4014,0.22,13.302,Var. benthic: Genus mix: Nutt. and Cib. spp.,3.97,-0.27
RC10-175,34.58333,159.1667,4014,0.46,20,Var. benthic: C. wuellerstorfi,3.68,-0.22
RC10-174,37.07,157.583,3191,0.1,11,Var. benthic: C. wuellerstorfi,3.18,-0.03
RC10-174,37.07,157.583,3191,0.22,17.333,Var. benthic: C. wuellerstorfi,4.05,0.01
RC10-174,37.07,157.583,3191,0.22,17.333,Var. benthic: C. wuellerstorfi,3.87,-0.22
RC10-174,37.07,157.583,3191,0.38,25.778,Var. benthic: C. wuellerstorfi,3.72,0.1
RC10-174,37.07,157.583,3191,0.46,30,Var. benthic: C. wuellerstorfi,3.83,-0.09
RC10-174,37.07,157.583,3191,0.46,30,Var. benthic: C. wuellerstorfi,4.21,0.26
RC11-120,-43.31,79.52,3193,0.05,2.705882353,C. wuellerstorfi,2.92,0.39
RC11-120,-43.31,79.52,3193,0.15,5.058823529,C. wuellerstorfi,3.25,-0.41
RC11-120,-43.31,79.52,3193,0.15,5.058823529,C. wuellerstorfi,2.74,0.61
RC11-120,-43.31,79.52,3193,0.15,5.058823529,C. wuellerstorfi,2.37,0.29
RC11-120,-43.31,79.52,3193,0.3,8.588235294,C. wuellerstorfi,2.84,0.45
RC11-120,-43.31,79.52,3193,0.4,10.94117647,C. wuellerstorfi,3.88,0.15
RC11-120,-43.31,79.52,3193,0.45,12.11764706,C. wuellerstorfi,3.45,0.12
RC11-120,-43.31,79.52,3193,0.6,15.64705882,C. wuellerstorfi,4.52,-0.23
RC11-120,-43.31,79.52,3193,0.8,20.83870968,C. wuellerstorfi,4.45,-0.48
RC11-120,-43.31,79.52,3193,0.85,22.25806452,C. wuellerstorfi,4.55,-0.32
RC11-120,-43.31,79.52,3193,0.9,23.67741935,C. wuellerstorfi,4.43,-0.46
RC11-120,-43.31,79.52,3193,0.95,25.09677419,C. wuellerstorfi,4.36,-0.12
RC11-120,-43.31,79.52,3193,1.1,29.35483871,C. wuellerstorfi,4.36,-0.32
RC11-120,-43.31,79.52,3193,1.15,30.77419355,C. wuellerstorfi,4.27,0.06
RC11-120,-43.31,79.52,3193,1.35,36.4516129,C. wuellerstorfi,4.17,0.04
RC11-120,-43.31,79.52,3193,1.4,37.87096774,C. wuellerstorfi,4.18,-0.07
RC11-120,-43.31,79.52,3193,1.45,39.29032258,C. wuellerstorfi,4.31,-0.01
RC11-120,-43.31,79.52,3193,1.5,40.70967742,C. wuellerstorfi,3.94,0.22
RC11-120,-43.31,79.52,3193,1.6,43.5483871,C. wuellerstorfi,4.23,0.23
RC11-120,-43.31,79.52,3193,1.65,44.96774194,C. wuellerstorfi,4.05,0.18
RC11-120,-43.31,79.52,3193,1.8,49.22580645,C. wuellerstorfi,3.98,0.09
RC11-120,-43.31,79.52,3193,1.85,50.64516129,C. wuellerstorfi,3.89,0.17
RC11-120,-43.31,79.52,3193,1.9,52.06451613,C. wuellerstorfi,3.83,-0.19
RC11-120,-43.31,79.52,3193,1.95,53.48387097,C. wuellerstorfi,3.77,-0.05
RC11-120,-43.31,79.52,3193,2,54.90322581,C. wuellerstorfi,4.02,0.08
RC11-120,-43.31,79.52,3193,2.05,56.32258065,C. wuellerstorfi,3.89,-0.17
RC11-120,-43.31,79.52,3193,2.2,60.58064516,C. wuellerstorfi,4.2,-0.33
RC11-120,-43.31,79.52,3193,2.25,62,C. wuellerstorfi,4.18,-0.36
RC11-120,-43.31,79.52,3193,2.3,63.5625,C. wuellerstorfi,4.09,-0.04
RC11-120,-43.31,79.52,3193,2.35,65.125,C. wuellerstorfi,4.11,-0.4
RC11-120,-43.31,79.52,3193,2.4,66.6875,C. wuellerstorfi,3.86,0.08
RC11-120,-43.31,79.52,3193,2.45,68.25,C. wuellerstorfi,3.92,-0.12
RC11-120,-43.31,79.52,3193,3.05,87,C. wuellerstorfi,3.9,0.2
RC11-120,-43.31,79.52,3193,3.9,111.625,C. wuellerstorfi,3.4,0.22
RC11-120,-43.31,79.52,3193,4,115.25,C. wuellerstorfi,3.36,0.21
RC11-120,-43.31,79.52,3193,4.4,129.75,C. wuellerstorfi,3.71,-0.11
V22-196,13.83333333,-18.95833333,3728,0.1,2.571,C. wuellerstorfi,2.62,0.84
V22-196,13.83333333,-18.95833333,3728,0.1,2.571,C. wuellerstorfi,2.86,0.91
V22-196,13.83333333,-18.95833333,3728,0.15,3.857,C. wuellerstorfi,2.37,0.86
V22-196,13.83333333,-18.95833333,3728,0.2,5.143,C. wuellerstorfi,2.84,0.33
V22-196,13.83333333,-18.95833333,3728,0.2,5.143,C. wuellerstorfi,3.24,0.81
